1  9787.07	2.883769e-01	3.251956e-01	-2.001666e+01	2.981245e+00	2.230639e+00	6.000568e+01	-1.902000e+01	3.225876e-01	3.521165e-01	
5  9629.82	2.947910e-01	2.930278e-01	-2.001777e+01	3.109236e+00	2.236104e+00	6.015039e+01	-1.902000e+01	3.484971e-01	3.583753e-01	
3  9494.63	2.947910e-01	2.930278e-01	-2.001777e+01	3.109236e+00	2.236104e+00	6.015039e+01	-1.902459e+01	3.484971e-01	3.583753e-01	
1  9459.12	2.699663e-01	2.857287e-01	-2.004101e+01	3.198665e+00	2.232763e+00	6.021395e+01	-1.902459e+01	3.808473e-01	3.333243e-01	
5  9332.41	3.742137e-01	2.253490e-01	-2.012848e+01	3.289549e+00	2.250041e+00	6.033475e+01	-1.902459e+01	3.367589e-01	4.377928e-01	
1  9212.69	3.537971e-01	2.366245e-01	-2.015394e+01	3.214769e+00	2.263004e+00	6.045478e+01	-1.902459e+01	3.457979e-01	4.174787e-01	
1  9112.16	3.352274e-01	2.268495e-01	-2.013295e+01	3.227856e+00	2.275891e+00	6.056249e+01	-1.902459e+01	3.740179e-01	3.990341e-01	
3  9022.84	3.139694e-01	2.272695e-01	-2.016531e+01	3.245890e+00	2.285470e+00	6.068869e+01	-1.902459e+01	3.948613e-01	3.777711e-01	
5  8830.69	3.139694e-01	2.272695e-01	-2.016531e+01	3.245890e+00	2.285470e+00	6.068869e+01	-1.903123e+01	3.948613e-01	3.777711e-01	
2  8726.54	3.212681e-01	2.294806e-01	-2.013065e+01	3.240941e+00	2.287058e+00	6.078905e+01	-1.903123e+01	3.855193e-01	3.849023e-01	
3  8604.06	3.212681e-01	2.294806e-01	-2.013065e+01	3.240941e+00	2.287058e+00	6.078905e+01	-1.903557e+01	3.855193e-01	3.849023e-01	
5  8543.49	3.167828e-01	2.063587e-01	-2.031344e+01	3.458304e+00	2.282104e+00	6.090690e+01	-1.903557e+01	4.135065e-01	3.800374e-01	
4  8430.61	3.089304e-01	2.228071e-01	-2.036766e+01	3.425278e+00	2.294642e+00	6.101293e+01	-1.903557e+01	4.047938e-01	3.723021e-01	
